tweet_id|created_at|author_id|author_username|author_geo|conversation_id|referenced_id|reference_type|pub_rt_cnt|pub_like_cnt|pub_rep_cnt|pub_qt_cnt|depth
1529584541266063362|2022-05-25T22:05:47.000Z|976969338|RepDaveJoyce|Washington, DC|1529584509552939009|1529584539479248896|replied_to|2|18|8|0|
1529584539479248896|2022-05-25T22:05:47.000Z|976969338|RepDaveJoyce|Washington, DC|1529584509552939009|1529584509552939009|replied_to|11|34|6|2|
1529584509552939009|2022-05-25T22:05:40.000Z|976969338|RepDaveJoyce|Washington, DC|1529584509552939009|||5|13|23|3|0
1529178455555833856|2022-05-24T19:12:09.000Z|976969338|RepDaveJoyce|Washington, DC|1529178455555833856|1529045812684238853|quoted|3|7|10|2|0
1529512988046237696|2022-05-25T17:21:27.000Z|1082311988926124036|RepJohnJoyce||1529512988046237696|||1|5|12|0|0
1529445530425761794|2022-05-25T12:53:24.000Z|1082311988926124036|RepJohnJoyce||1529445530425761794|||3|14|28|1|0
1529471125436223488|2022-05-25T14:35:07.000Z|581141508|RepMarcyKaptur|Toledo, OH|1529471125436223488|||148|441|28|8|0
1529251314634563584|2022-05-25T00:01:40.000Z|581141508|RepMarcyKaptur|Toledo, OH|1529251308791910400|1529251313451679744|replied_to|10|27|3|0|
1529251313451679744|2022-05-25T00:01:39.000Z|581141508|RepMarcyKaptur|Toledo, OH|1529251308791910400|1529251312315023360|replied_to|8|22|1|0|
1529251312315023360|2022-05-25T00:01:39.000Z|581141508|RepMarcyKaptur|Toledo, OH|1529251308791910400|1529251310989606912|replied_to|3|10|1|0|
1529251310989606912|2022-05-25T00:01:39.000Z|581141508|RepMarcyKaptur|Toledo, OH|1529251308791910400|1529251308791910400|replied_to|1|15|1|0|
1529539602461216769|2022-05-25T19:07:13.000Z|2966765501|RepJohnKatko|Syracuse, New York|1529539602461216769|1529538515578630144|retweeted|4|0|0|0|0
1529192937040510984|2022-05-24T20:09:41.000Z|2966765501|RepJohnKatko|Syracuse, New York|1529192937040510984|1529190148419817473|retweeted|5|0|0|0|0
1529101459035459584|2022-05-24T14:06:11.000Z|2966765501|RepJohnKatko|Syracuse, New York|1529101459035459584|||2|15|3|0|0
1529249643502116865|2022-05-24T23:55:01.000Z|232992031|USRepKeating|Bourne, Massachusetts|1529249643502116865|||8|26|10|2|0
1529219241828032512|2022-05-24T21:54:13.000Z|1136060761422405633|RepFredKeller|PA-12|1529219241828032512|1529202121949818881|quoted|9|28|36|2|0
1529177547870724100|2022-05-24T19:08:32.000Z|1136060761422405633|RepFredKeller|PA-12|1529177547870724100|||3|5|1|1|0
